Item_Identifier,Item_Weight,Item_Visibility,Year,Outlet_Identifier,Item_Type,Item_MRP,MRP_Level,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Converted Sales
FDW37,19.2,0.124243256,17,OUT049,Canned,91.6488,Medium,2,Tier 1,Supermarket Type1,1570.351015,1.021
FDK38,6.65,0.053245569,29,OUT013,Canned,148.0734,High,1,Tier 3,Supermarket Type1,2393.296529,1.556
FDU19,8.77,0.046771477,19,OUT046,Fruits and Vegetables,173.9422,High,3,Tier 1,Supermarket Type1,3103.9596,2.018
FDZ12,9.17,0.102893121,29,OUT013,Baking Goods,141.947,High,1,Tier 3,Supermarket Type1,4008.116,2.605
NCI55,18.6,0.012653565,19,OUT046,Household,121.2414,Medium,3,Tier 1,Supermarket Type1,1927.75082,1.253
DRE37,13.5,0.164966345,31,OUT019,Soft Drinks,189.4872,High,3,Tier 1,Grocery Store,189.0872,0.123
NCS18,12.65,0.042276746,17,OUT049,Household,108.4938,Medium,2,Tier 1,Supermarket Type1,1500.7132,0.975
FDY34,10.5,0.010998932,17,OUT049,Snack Foods,164.3842,High,2,Tier 1,Supermarket Type1,1823.6262,1.185
FDP45,15.7,0.030672457,17,OUT049,Snack Foods,253.1724,Very_High,2,Tier 1,Supermarket Type1,5285.1204,3.435
NCM18,13.0,0.138660307,18,OUT010,Household,62.9194,Low,2,Tier 3,Grocery Store,-913.1642839,-0.594
NCP05,19.6,0.025286583,19,OUT046,Health and Hygiene,151.8024,High,3,Tier 1,Supermarket Type1,1366.2216,0.888
DRD25,6.135,0.078906336,29,OUT013,Soft Drinks,112.386,Medium,1,Tier 3,Supermarket Type1,1833.59584,1.192
FDY20,12.5,0.081879864,17,OUT049,Fruits and Vegetables,91.7488,Medium,2,Tier 1,Supermarket Type1,1358.232,0.883
DRD25,6.135,0.079418753,9,OUT017,Soft Drinks,111.886,Medium,2,Tier 2,Supermarket Type1,1898.219631,1.234
FDU31,10.5,0.025041738,14,OUT045,Fruits and Vegetables,218.7508,Very_High,2,Tier 2,Supermarket Type1,3255.762,2.116
FDY57,20.2,0.121442754,17,OUT049,Snack Foods,94.9752,Medium,2,Tier 1,Supermarket Type1,1342.2528,0.872
FDE57,9.6,0.03625493,29,OUT013,Fruits and Vegetables,141.0154,High,1,Tier 3,Supermarket Type1,2694.4926,1.751
FDN39,19.35,0.07292958,17,OUT049,Meat,168.8816,High,2,Tier 1,Supermarket Type1,2825.005329,1.836
NCS53,14.5,0.08996026,14,OUT045,Health and Hygiene,159.5604,High,2,Tier 2,Supermarket Type1,1426.1436,0.927
DRH25,18.7,0.01459303,19,OUT046,Soft Drinks,52.7324,Low,3,Tier 1,Supermarket Type1,886.2980039,0.576
FDY31,5.98,0.043809261,9,OUT017,Fruits and Vegetables,146.8418,High,2,Tier 2,Supermarket Type1,1765.7016,1.148
FDJ09,15.0,0.058469166,12,OUT035,Snack Foods,47.2744,Low,3,Tier 2,Supermarket Type1,679.116,0.441
NCX53,20.1,0.014925407,29,OUT013,Health and Hygiene,143.4154,High,1,Tier 3,Supermarket Type1,3545.385,2.305
DRJ49,6.865,0.014072399,9,OUT017,Soft Drinks,127.3652,Medium,2,Tier 2,Supermarket Type1,1679.1476,1.091
FDP08,20.5,0.188151371,18,OUT010,Fruits and Vegetables,193.4478,High,2,Tier 3,Grocery Store,1178.659402,0.766
FDZ01,8.975,0.009057132,12,OUT035,Canned,104.099,Medium,3,Tier 2,Supermarket Type1,2476.776,1.61
DRK01,7.63,0.061188147,14,OUT045,Soft Drinks,94.0436,Medium,2,Tier 2,Supermarket Type1,1134.5232,0.737
FDL27,6.17,0.011536484,12,OUT035,Meat,64.0826,Low,3,Tier 2,Supermarket Type1,1206.972503,0.785
FDQ58,7.315,0.015289106,29,OUT013,Snack Foods,151.134,High,1,Tier 3,Supermarket Type1,2447.483863,1.591
FDB47,8.8,0.071833423,9,OUT017,Snack Foods,210.0612,Very_High,2,Tier 2,Supermarket Type1,3427.19399,2.228
DRN35,8.01,0.070390053,14,OUT045,Hard Drinks,35.0532,Low,2,Tier 2,Supermarket Type1,532.9416557,0.346
FDM16,8.155,0.033549054,12,OUT035,Frozen Foods,73.7354,Medium,3,Tier 2,Supermarket Type1,1397.672566,0.908
FDE02,8.71,0.121438886,17,OUT049,Canned,93.6778,Medium,2,Tier 1,Supermarket Type1,1601.718355,1.041
FDT12,6.215,0.083056555,18,OUT010,Baking Goods,224.4062,Very_High,2,Tier 3,Grocery Store,225.7062,0.147
DRD37,9.8,0.013920032,9,OUT017,Soft Drinks,45.006,Low,2,Tier 2,Supermarket Type1,792.302,0.515
FDZ34,6.695,0.075878519,19,OUT046,Starchy Foods,194.082,High,3,Tier 1,Supermarket Type1,3861.64,2.51
NCH55,16.35,0.034813556,7,OUT018,Household,128.402,Medium,2,Tier 3,Supermarket Type2,1265.02,0.822
DRJ11,9.5,0.084679095,31,OUT027,Hard Drinks,190.6872,High,2,Tier 3,Supermarket Type3,4470.912703,2.906
NCK18,9.6,0.006725388,7,OUT018,Household,165.9184,High,2,Tier 3,Supermarket Type2,2972.1312,1.932
NCL19,15.35,0.015673267,12,OUT035,Others,145.047,High,3,Tier 2,Supermarket Type1,2719.793,1.768
FDW47,15.0,0.046336634,29,OUT013,Breads,120.0414,Medium,1,Tier 3,Supermarket Type1,3533.4006,2.297
NCO18,13.15,0.024790707,9,OUT017,Household,177.5686,High,2,Tier 2,Supermarket Type1,3910.9092,2.542
FDB49,8.3,0.030212499,14,OUT045,Baking Goods,98.0384,Medium,2,Tier 2,Supermarket Type1,2857.6136,1.857
FDF59,12.5,0.119247864,18,OUT010,Starchy Foods,126.302,Medium,2,Tier 3,Grocery Store,101.1004848,0.066
FDA33,6.48,0.033893487,12,OUT035,Snack Foods,147.0076,High,3,Tier 2,Supermarket Type1,3103.9596,2.018
FDY47,8.6,0.054594957,14,OUT045,Breads,130.531,Medium,2,Tier 2,Supermarket Type1,1298.31,0.844
NCA54,16.5,0.036464158,31,OUT027,Household,180.1318,High,2,Tier 3,Supermarket Type3,4290.628685,2.789
FDI38,13.35,0.014624135,12,OUT035,Canned,207.2638,Very_High,3,Tier 2,Supermarket Type1,3478.817447,2.261
FDU60,20.0,0.059901045,19,OUT046,Baking Goods,168.8132,High,3,Tier 1,Supermarket Type1,2728.850264,1.774
FDH47,13.5,0.128816212,19,OUT046,Starchy Foods,96.4068,Medium,3,Tier 1,Supermarket Type1,2527.3768,1.643
FDM46,7.365,0.160216552,17,OUT049,Snack Foods,93.512,Medium,2,Tier 1,Supermarket Type1,1677.816,1.091
FDZ20,16.1,0.034306962,19,OUT046,Fruits and Vegetables,252.3356,Very_High,3,Tier 1,Supermarket Type1,3815.034,2.48
FDI20,19.1,0.038720852,7,OUT018,Fruits and Vegetables,210.8586,Very_High,2,Tier 3,Supermarket Type2,6331.758,4.116
FDS47,16.75,0.215728288,18,OUT010,Breads,86.9856,Medium,2,Tier 3,Grocery Store,-526.9262708,-0.343
FDM01,7.895,0.094488485,29,OUT013,Breakfast,100.7332,Medium,1,Tier 3,Supermarket Type1,1230.3984,0.8
FDM39,6.42,0.053426165,29,OUT013,Dairy,178.7002,High,1,Tier 3,Supermarket Type1,4477.505,2.91
NCE43,12.5,0.102941345,31,OUT027,Household,171.2448,High,2,Tier 3,Supermarket Type3,4602.0096,2.991
FDS01,11.6,0.017780986,14,OUT045,Canned,177.3686,High,2,Tier 2,Supermarket Type1,1777.686,1.155
FDD36,13.3,0.021170542,31,OUT027,Baking Goods,117.6124,Medium,2,Tier 3,Supermarket Type3,2251.7356,1.464
FDZ19,6.425,0.093835595,7,OUT018,Fruits and Vegetables,174.2712,High,2,Tier 3,Supermarket Type2,2486.360606,1.616
NCR42,9.105,0.038474607,12,OUT035,Household,34.89,Low,3,Tier 2,Supermarket Type1,723.5311534,0.47
FDL32,15.7,0.121873881,31,OUT027,Fruits and Vegetables,113.1544,Medium,2,Tier 3,Supermarket Type3,3302.766902,2.147
DRG27,8.895,0.105274111,17,OUT049,Dairy,39.9138,Low,2,Tier 1,Supermarket Type1,690.4346,0.449
FDT04,17.25,0.117133717,7,OUT018,Frozen Foods,40.8822,Low,2,Tier 3,Supermarket Type2,628.5152,0.409
FDS11,7.05,0.055644887,17,OUT049,Breads,224.9088,Very_High,2,Tier 1,Supermarket Type1,2684.5056,1.745
FDQ23,6.55,0.024505418,29,OUT013,Breads,102.9332,Medium,1,Tier 3,Supermarket Type1,1845.5976,1.2
NCG06,16.35,0.02949114,17,OUT049,Household,256.7646,Very_High,2,Tier 1,Supermarket Type1,4130.672717,2.685
FDA37,7.81,0.055312618,17,OUT049,Canned,124.7046,Medium,2,Tier 1,Supermarket Type1,2139.93651,1.391
FDK08,9.195,0.122304725,19,OUT046,Fruits and Vegetables,99.2016,Medium,3,Tier 1,Supermarket Type1,809.6128,0.526
NCK07,10.65,0.048785427,14,OUT045,Others,163.9526,High,2,Tier 2,Supermarket Type1,1644.526,1.069
FDA32,14.0,0.030088502,12,OUT035,Fruits and Vegetables,216.6192,Very_High,3,Tier 2,Supermarket Type1,3577.593511,2.325
FDB15,10.895,0.137088198,14,OUT045,Dairy,265.0568,Very_High,2,Tier 2,Supermarket Type1,4100.264632,2.665
NCK29,5.615,0.126024084,14,OUT045,Health and Hygiene,124.573,Medium,2,Tier 2,Supermarket Type1,1891.253044,1.229
FDR44,6.11,0.103503049,9,OUT017,Fruits and Vegetables,129.6968,Medium,2,Tier 2,Supermarket Type1,1174.4712,0.763
FDE14,13.65,0.031623019,9,OUT017,Canned,97.87,Medium,2,Tier 2,Supermarket Type1,1733.019528,1.126
FDB15,10.895,0.136784873,12,OUT035,Dairy,265.2568,Very_High,3,Tier 2,Supermarket Type1,4218.5088,2.742
NCC19,6.57,0.096880574,19,OUT046,Household,191.482,High,3,Tier 1,Supermarket Type1,5020.132,3.263
FDE23,17.6,0.053481818,9,OUT017,Starchy Foods,47.806,Low,2,Tier 2,Supermarket Type1,1071.938,0.697
FDQ52,17.0,0.119570595,17,OUT049,Frozen Foods,249.7434,Very_High,2,Tier 1,Supermarket Type1,4221.8378,2.744
FDB03,17.75,0.156072361,31,OUT027,Dairy,240.2538,Very_High,2,Tier 3,Supermarket Type3,5274.547162,3.428
FDD59,10.5,0.066450399,7,OUT018,Starchy Foods,80.796,Medium,2,Tier 3,Supermarket Type2,1081.131185,0.703
FDR09,18.25,0.077348214,31,OUT027,Snack Foods,259.7962,Very_High,2,Tier 3,Supermarket Type3,8028.8822,5.219
NCQ02,12.6,0.00749864,9,OUT017,Household,186.4556,High,2,Tier 2,Supermarket Type1,3046.425724,1.98
DRK59,8.895,0.075449827,19,OUT046,Hard Drinks,233.2616,Very_High,3,Tier 1,Supermarket Type1,3684.031413,2.395
NCL05,19.6,0.048168592,9,OUT017,Health and Hygiene,42.677,Low,2,Tier 2,Supermarket Type1,802.8561358,0.522
DRY23,9.395,0.109075742,12,OUT035,Soft Drinks,42.9112,Low,3,Tier 2,Supermarket Type1,426.112,0.277
FDJ32,10.695,0.057792343,19,OUT046,Fruits and Vegetables,61.4536,Low,3,Tier 1,Supermarket Type1,428.7752,0.279
FDN48,13.35,0.06495073,19,OUT046,Baking Goods,92.5804,Medium,3,Tier 1,Supermarket Type1,1497.283669,0.973
FDN51,17.85,0.020989308,14,OUT045,Meat,260.7936,Very_High,2,Tier 2,Supermarket Type1,4697.8848,3.054
FDT52,9.695,0.047429578,19,OUT046,Frozen Foods,245.8144,Very_High,3,Tier 1,Supermarket Type1,3430.2016,2.23
FDS50,17.0,0.055433377,19,OUT046,Dairy,221.1114,Very_High,3,Tier 1,Supermarket Type1,4434.228,2.882
DRL35,15.7,0.03070363,19,OUT046,Hard Drinks,43.277,Low,3,Tier 1,Supermarket Type1,736.2176756,0.479
NCY05,13.5,0.05510153,14,OUT045,Health and Hygiene,37.0874,Low,2,Tier 2,Supermarket Type1,952.7598,0.619
FDR14,11.65,0.291322397,18,OUT010,Dairy,55.8298,Low,2,Tier 3,Grocery Store,-1025.002351,-0.666
DRE13,6.28,0.027817961,7,OUT018,Soft Drinks,85.8198,Medium,2,Tier 3,Supermarket Type2,1121.493854,0.729
FDN56,5.46,0.107493292,7,OUT018,Fruits and Vegetables,142.5786,High,2,Tier 3,Supermarket Type2,2035.016161,1.323
FDI24,10.3,0.078362484,31,OUT027,Baking Goods,177.937,High,2,Tier 3,Supermarket Type3,6704.606,4.358
FDR22,19.35,0.018562604,19,OUT046,Snack Foods,110.5544,Medium,3,Tier 1,Supermarket Type1,1565.9616,1.018
NCN06,8.39,0.20168772,18,OUT010,Household,162.8868,High,2,Tier 3,Grocery Store,327.5736,0.213
FDL04,19.0,0.112097433,17,OUT049,Frozen Foods,105.5622,Medium,2,Tier 1,Supermarket Type1,1905.5196,1.239
FDD39,16.7,0.070141633,12,OUT035,Dairy,214.985,Very_High,3,Tier 2,Supermarket Type1,3545.458285,2.305
FDW26,11.8,0.107274301,14,OUT045,Dairy,221.1772,Very_High,2,Tier 2,Supermarket Type1,3113.2808,2.024
FDY19,19.75,0.041164623,31,OUT027,Fruits and Vegetables,117.7466,Medium,2,Tier 3,Supermarket Type3,3344.186085,2.174
FDT55,13.6,0.076434542,31,OUT019,Fruits and Vegetables,155.8946,High,3,Tier 1,Grocery Store,473.3838,0.308
FDC50,15.85,0.13727,9,OUT017,Canned,94.4094,Medium,2,Tier 2,Supermarket Type1,1904.188,1.238
FDH24,20.7,0.021474597,14,OUT045,Baking Goods,156.9288,High,2,Tier 2,Supermarket Type1,2438.42561,1.585
FDY08,9.395,0.286344848,18,OUT010,Fruits and Vegetables,139.1838,High,2,Tier 3,Grocery Store,280.9676,0.183
FDH44,19.1,0.025872153,19,OUT046,Fruits and Vegetables,145.7418,High,3,Tier 1,Supermarket Type1,882.8508,0.574
FDQ58,7.315,0.015332872,14,OUT045,Snack Foods,154.034,High,2,Tier 2,Supermarket Type1,612.536,0.398
FDY50,5.8,0.13169655,9,OUT017,Dairy,89.4172,Medium,2,Tier 2,Supermarket Type1,2498.0816,1.624
DRG11,6.385,0.083432299,31,OUT027,Hard Drinks,107.4596,Medium,2,Tier 3,Supermarket Type3,3175.995212,2.064
DRH11,5.98,0.075543678,12,OUT035,Hard Drinks,57.1614,Low,3,Tier 2,Supermarket Type1,1088.271542,0.707
FDQ20,8.325,0.029906169,7,OUT018,Fruits and Vegetables,41.1138,Low,2,Tier 3,Supermarket Type2,425.692608,0.277
DRI25,19.6,0.033901442,19,OUT046,Soft Drinks,56.2614,Low,3,Tier 1,Supermarket Type1,773.6596,0.503
FDK22,9.8,0.026192765,7,OUT018,Snack Foods,215.685,Very_High,2,Tier 3,Supermarket Type2,649.155,0.422
FDU04,7.93,0.00557982,9,OUT017,Frozen Foods,121.1414,Medium,2,Tier 2,Supermarket Type1,2055.032764,1.336
NCP41,16.6,0.016243582,14,OUT045,Health and Hygiene,107.6596,Medium,2,Tier 2,Supermarket Type1,1647.685869,1.071
FDD58,7.76,0.099343484,18,OUT010,Snack Foods,98.17,Medium,2,Tier 3,Grocery Store,-333.4896128,-0.217
FDX13,7.725,0.047879864,14,OUT045,Canned,250.2092,Very_High,2,Tier 2,Supermarket Type1,3984.1472,2.59
FDL08,10.8,0.049719026,19,OUT046,Fruits and Vegetables,246.7144,Very_High,3,Tier 1,Supermarket Type1,5145.3024,3.344
FDJ52,7.145,0.017786864,19,OUT046,Frozen Foods,161.0578,High,3,Tier 1,Supermarket Type1,2570.418506,1.671
FDQ08,15.7,0.018959784,17,OUT049,Fruits and Vegetables,61.0536,Low,2,Tier 1,Supermarket Type1,1156.360872,0.752
FDM39,6.42,0.053211728,31,OUT027,Dairy,177.6002,High,2,Tier 3,Supermarket Type3,8417.7094,5.472
FDF05,17.5,0.027022883,9,OUT017,Frozen Foods,262.491,Very_High,2,Tier 2,Supermarket Type1,5259.82,3.419
FDA16,6.695,0.033994765,17,OUT049,Frozen Foods,219.8456,Very_High,2,Tier 1,Supermarket Type1,3579.648576,2.327
NCS18,12.65,0.042383069,7,OUT018,Household,108.0938,Medium,2,Tier 3,Supermarket Type2,1607.907,1.045
FDE32,20.7,0.04874969,12,OUT035,Fruits and Vegetables,37.5506,Low,3,Tier 2,Supermarket Type1,113.8518,0.074
NCY17,18.2,0.163760524,7,OUT018,Health and Hygiene,45.0086,Low,2,Tier 3,Supermarket Type2,439.1284872,0.285
FDR58,6.675,0.04200648,14,OUT045,Snack Foods,92.6462,Medium,2,Tier 2,Supermarket Type1,1665.8316,1.083
FDV38,19.25,0.102188428,7,OUT018,Dairy,54.3956,Low,2,Tier 3,Supermarket Type2,1201.1032,0.781
FDI04,13.65,0.127660257,31,OUT019,Frozen Foods,198.5426,High,3,Tier 1,Grocery Store,790.9704,0.514
FDZ59,6.63,0.104445322,7,OUT018,Baking Goods,167.25,High,2,Tier 3,Supermarket Type2,1830.95,1.19
FDK21,7.905,0.009963834,31,OUT027,Snack Foods,250.8408,Very_High,2,Tier 3,Supermarket Type3,5419.574843,3.523
FDQ19,7.35,0.015452479,31,OUT019,Fruits and Vegetables,244.3512,Very_High,3,Tier 1,Grocery Store,2017.002658,1.311
FDS33,6.67,0.122830885,31,OUT027,Snack Foods,86.9514,Medium,2,Tier 3,Supermarket Type3,3364.9532,2.187
FDJ53,10.5,0.070912843,31,OUT027,Frozen Foods,121.5098,Medium,2,Tier 3,Supermarket Type3,2410.196,1.567
FDV35,19.5,0.128181759,12,OUT035,Breads,156.1314,High,3,Tier 2,Supermarket Type1,2792.3652,1.815
NCH55,16.35,0.034672316,19,OUT046,Household,127.202,Medium,3,Tier 1,Supermarket Type1,2016.559596,1.311
FDR32,6.78,0.150238656,31,OUT019,Fruits and Vegetables,229.3694,Very_High,3,Tier 1,Grocery Store,228.3694,0.148
FDB26,14.0,0.031316108,17,OUT049,Canned,52.564,Low,2,Tier 1,Supermarket Type1,1022.037379,0.664
FDF02,16.2,0.103683012,14,OUT045,Canned,105.099,Medium,2,Tier 2,Supermarket Type1,1617.58726,1.051
DRG51,12.1,0.011537439,12,OUT035,Dairy,165.9526,High,3,Tier 2,Supermarket Type1,2792.342602,1.815
FDV38,19.25,0.101689151,29,OUT013,Dairy,54.6956,Low,1,Tier 3,Supermarket Type1,163.7868,0.106
NCF18,18.35,0.089163056,14,OUT045,Household,191.3504,High,2,Tier 2,Supermarket Type1,3259.7568,2.119
FDH04,6.115,0.011419301,7,OUT018,Frozen Foods,91.0488,Medium,2,Tier 3,Supermarket Type2,1629.8784,1.059
DRC25,5.73,0.045334098,29,OUT013,Soft Drinks,87.0882,Medium,1,Tier 3,Supermarket Type1,1803.6522,1.172
DRE37,13.5,0.094752537,9,OUT017,Soft Drinks,189.9872,High,2,Tier 2,Supermarket Type1,3111.231583,2.022
NCR54,16.35,0.099148721,12,OUT035,Household,198.211,High,3,Tier 2,Supermarket Type1,2946.165,1.915
FDB34,15.25,0.026480954,31,OUT027,Snack Foods,87.6198,Medium,2,Tier 3,Supermarket Type3,2180.495,1.417
FDT59,13.65,0.027858864,31,OUT019,Breads,230.2668,Very_High,3,Tier 1,Grocery Store,1751.975424,1.139
DRP47,15.75,0.139922439,31,OUT027,Hard Drinks,251.5382,Very_High,2,Tier 3,Supermarket Type3,5408.59789,3.516
FDF52,9.3,0.066887123,17,OUT049,Frozen Foods,183.9292,High,2,Tier 1,Supermarket Type1,3283.7256,2.134
FDT21,7.42,0.020423549,17,OUT049,Snack Foods,249.0092,Very_High,2,Tier 1,Supermarket Type1,2988.1104,1.942
FDK33,17.85,0.011298801,9,OUT017,Snack Foods,213.256,Very_High,2,Tier 2,Supermarket Type1,3487.896861,2.267
FDW16,17.35,0.041474232,19,OUT046,Frozen Foods,93.0804,Medium,3,Tier 1,Supermarket Type1,826.9236,0.538
FDQ60,6.195,0.108844791,31,OUT027,Baking Goods,118.5098,Medium,2,Tier 3,Supermarket Type3,3387.711082,2.202
FDY22,16.5,0.159690469,12,OUT035,Snack Foods,142.4128,High,3,Tier 2,Supermarket Type1,575.2512,0.374
DRL35,15.7,0.030765898,14,OUT045,Hard Drinks,43.277,Low,2,Tier 2,Supermarket Type1,649.155,0.422
FDZ19,6.425,0.093983518,9,OUT017,Fruits and Vegetables,175.5712,High,2,Tier 2,Supermarket Type1,1230.3984,0.8
FDF32,16.35,0.074667013,7,OUT018,Fruits and Vegetables,196.3426,High,2,Tier 3,Supermarket Type2,1384.1982,0.9
NCS53,14.5,0.089761211,12,OUT035,Health and Hygiene,159.4604,High,3,Tier 2,Supermarket Type1,2376.906,1.545
DRN35,8.01,0.069907412,31,OUT027,Hard Drinks,36.9532,Low,2,Tier 3,Supermarket Type3,2081.424884,1.353
FDW13,8.5,0.098083231,14,OUT045,Canned,50.3324,Low,2,Tier 2,Supermarket Type1,675.1212,0.439
NCV42,6.26,0.031485704,14,OUT045,Household,110.0228,Medium,2,Tier 2,Supermarket Type1,1681.160693,1.093
FDL14,8.115,0.032003136,31,OUT027,Canned,153.9972,High,2,Tier 3,Supermarket Type3,3953.189221,2.57
FDQ03,15.0,0.077636468,31,OUT027,Meat,236.2248,Very_High,2,Tier 3,Supermarket Type3,5225.163786,3.396
FDR46,16.85,0.233356571,18,OUT010,Snack Foods,146.576,High,2,Tier 3,Grocery Store,439.428,0.286
FDA38,5.44,0.025479919,19,OUT046,Dairy,238.5538,Very_High,3,Tier 1,Supermarket Type1,3774.736467,2.454
FDG10,6.63,0.011001175,9,OUT017,Snack Foods,57.0588,Low,2,Tier 2,Supermarket Type1,1101.129923,0.716
FDR52,12.65,0.133144259,31,OUT019,Frozen Foods,190.8846,High,3,Tier 1,Grocery Store,191.0846,0.124
DRK59,8.895,0.075876602,9,OUT017,Hard Drinks,235.9616,Very_High,2,Tier 2,Supermarket Type1,1874.8928,1.219
DRH23,14.65,0.170176516,29,OUT013,Hard Drinks,55.2614,Low,1,Tier 3,Supermarket Type1,718.3982,0.467
NCX41,19.0,0.017715927,12,OUT035,Health and Hygiene,212.6244,Very_High,3,Tier 2,Supermarket Type1,3493.093709,2.271
NCQ17,10.3,0.117593973,9,OUT017,Health and Hygiene,154.463,High,2,Tier 2,Supermarket Type1,2503.408,1.627
FDB23,19.2,0.005583951,29,OUT013,Starchy Foods,226.9062,Very_High,1,Tier 3,Supermarket Type1,4514.124,2.934
FDA44,19.7,0.053305463,17,OUT049,Fruits and Vegetables,58.193,Low,2,Tier 1,Supermarket Type1,848.895,0.552
FDF50,4.905,0.117308165,12,OUT035,Canned,195.7768,High,3,Tier 2,Supermarket Type1,2956.152,1.921
FDV19,14.85,0.035257037,19,OUT046,Fruits and Vegetables,161.2578,High,3,Tier 1,Supermarket Type1,4171.9028,2.712
FDV47,17.1,0.054428368,7,OUT018,Breads,84.9566,Medium,2,Tier 3,Supermarket Type2,1014.6792,0.66
FDQ57,7.275,0.028061488,7,OUT018,Snack Foods,145.076,High,2,Tier 3,Supermarket Type2,2043.477335,1.328
NCP43,17.75,0.030359318,31,OUT027,Others,181.166,High,2,Tier 3,Supermarket Type3,4307.850537,2.8
FDT12,6.215,0.049381406,31,OUT027,Baking Goods,226.8062,Very_High,2,Tier 3,Supermarket Type3,4739.8302,3.081
FDD02,16.6,0.060545269,9,OUT017,Canned,120.3124,Medium,2,Tier 2,Supermarket Type1,2033.251324,1.322
FDY35,17.6,0.015950066,31,OUT027,Breads,47.7402,Low,2,Tier 3,Supermarket Type3,1975.4286,1.284
FDC23,18.0,0.017891302,29,OUT013,Starchy Foods,178.4686,High,1,Tier 3,Supermarket Type1,2873.028905,1.867
FDD23,9.5,0.048761223,17,OUT049,Starchy Foods,186.5898,High,2,Tier 1,Supermarket Type1,5238.5144,3.405
FDL02,20.0,0.104672114,9,OUT017,Canned,105.2622,Medium,2,Tier 2,Supermarket Type1,1835.891139,1.193
NCD31,12.1,0.015431545,12,OUT035,Household,162.7526,High,3,Tier 2,Supermarket Type1,2717.086989,1.766
FDA07,7.55,0.030944625,19,OUT046,Fruits and Vegetables,123.5072,Medium,3,Tier 1,Supermarket Type1,2028.10533,1.318
FDA57,18.85,0.039451625,31,OUT027,Snack Foods,39.548,Low,2,Tier 3,Supermarket Type3,1358.232,0.883
FDZ44,8.185,0.038948125,9,OUT017,Fruits and Vegetables,115.4808,Medium,2,Tier 2,Supermarket Type1,820.2656,0.533
DRD01,12.1,0.061299601,14,OUT045,Soft Drinks,56.2614,Low,2,Tier 2,Supermarket Type1,552.614,0.359
FDA03,18.5,0.045243613,31,OUT027,Dairy,146.8102,High,2,Tier 3,Supermarket Type3,3499.4448,2.275
NCK29,5.615,0.138095939,31,OUT019,Health and Hygiene,123.473,Medium,3,Tier 1,Grocery Store,369.519,0.24
FDR60,14.3,0.129783577,31,OUT027,Baking Goods,78.2328,Medium,2,Tier 3,Supermarket Type3,1004.0264,0.653
NCH07,13.15,0.092218288,31,OUT027,Household,158.6604,High,2,Tier 3,Supermarket Type3,3946.755505,2.565
FDS26,20.35,0.089650666,14,OUT045,Dairy,259.8594,Very_High,2,Tier 2,Supermarket Type1,4028.169309,2.618
FDJ56,8.985,0.183774965,14,OUT045,Fruits and Vegetables,101.77,Medium,2,Tier 2,Supermarket Type1,798.96,0.519
FDQ24,15.7,0.073816097,14,OUT045,Baking Goods,253.4724,Very_High,2,Tier 2,Supermarket Type1,2013.3792,1.309
FDO33,14.75,0.089686322,7,OUT018,Snack Foods,115.3518,Medium,2,Tier 3,Supermarket Type2,1821.6288,1.184
FDT51,11.65,0.010980551,9,OUT017,Meat,110.7544,Medium,2,Tier 2,Supermarket Type1,1936.904398,1.259
FDO56,10.195,0.045052492,17,OUT049,Fruits and Vegetables,116.5808,Medium,2,Tier 1,Supermarket Type1,2015.458319,1.31
FDX08,12.85,0.02249459,31,OUT027,Fruits and Vegetables,180.9318,High,2,Tier 3,Supermarket Type3,4330.036984,2.815
FDL21,15.85,0.007111808,31,OUT027,Snack Foods,39.348,Low,2,Tier 3,Supermarket Type3,2174.158116,1.413
FDH34,8.63,0.031158308,14,OUT045,Snack Foods,184.2582,High,2,Tier 2,Supermarket Type1,2861.189406,1.86
DRK37,5.0,0.044004675,19,OUT046,Soft Drinks,188.853,High,3,Tier 1,Supermarket Type1,5502.837,3.577
FDK27,11.0,0.008946536,19,OUT046,Meat,119.4756,Medium,3,Tier 1,Supermarket Type1,1925.216621,1.251
FDE34,9.195,0.107870997,12,OUT035,Snack Foods,181.2634,High,3,Tier 2,Supermarket Type1,2362.9242,1.536
NCE06,5.825,0.153127523,18,OUT010,Household,162.4894,High,2,Tier 3,Grocery Store,323.5788,0.21
NCT17,10.8,0.041857932,12,OUT035,Health and Hygiene,189.6214,High,3,Tier 2,Supermarket Type1,3130.50835,2.035
NCD42,16.5,0.012627329,29,OUT013,Health and Hygiene,38.7506,Low,1,Tier 3,Supermarket Type1,759.012,0.493
FDI32,17.7,0.173529036,31,OUT027,Fruits and Vegetables,113.2834,Medium,2,Tier 3,Supermarket Type3,4376.9692,2.845
FDV04,7.825,0.251094747,18,OUT010,Frozen Foods,156.6288,High,2,Tier 3,Grocery Store,628.5152,0.409
FDK03,12.6,0.073920438,19,OUT046,Dairy,255.6356,Very_High,3,Tier 1,Supermarket Type1,2797.6916,1.818
NCF42,17.35,0.166572501,31,OUT027,Household,176.1712,High,2,Tier 3,Supermarket Type3,3691.1952,2.399
FDU50,5.75,0.075170211,19,OUT046,Dairy,115.3176,Medium,3,Tier 1,Supermarket Type1,1892.964872,1.23
FDX51,9.5,0.022093019,17,OUT049,Meat,195.9452,High,2,Tier 1,Supermarket Type1,2348.9424,1.527
FDO37,8.06,0.021409913,17,OUT049,Breakfast,229.7326,Very_High,2,Tier 1,Supermarket Type1,6930.978,4.505
